Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Tang, RY; Inoue, Y",,,,"Tang, Ruiyang; Inoue, Yuki",,,Services on Platform Ecosystems in the Smart Home 2.0 Era: Elements Influencing Consumers' Value Perception for Smart Home Products,SENSORS,,,,,,,,,,platform ecosystem; smart home; IoT service; modularity; inter-consumer connectivity; value perception,INTERNET-OF-THINGS; SELF-ESTEEM; INNOVATION; ANXIETY,"Recently, smart home products have shown signs of rapid development and increasing awareness of smart home platforms. In order to make smart home enterprises enter the era of Smart Home 2.0, it is necessary to consider the elements related to smart home platforms. This study examines the relationship between consumers' value perception and the platform ecosystem theory and how this relationship contributes to their perception of smart home products' value. This study aims to reveal the influence of smart home platform elements on the value perception of consumers regarding consumers' perception of the smart home products' value. To achieve this goal, an online survey (n = 595) was implemented to collect data from Japanese respondents. The analytical results presented in this study indicated that consumers, who sense the value of modularization of smart home products and inter-consumer connectivity, can sense the value of smart home products. In addition, consumers who can perceive the value of a platform service can indirectly feel the value of smart home products through modularity and inter-consumer connectivity. The results presented in this study provide new insights into product development in Smart Home 2.0.",,,,,,,,,,,,,,,,,,,,,,,,NOV,2021,21,21,,,,,,,7391,10.3390/s21217391,http://dx.doi.org/10.3390/s21217391,,,,"Chemistry, Analytical; Engineering, Electrical & Electronic; Instruments & Instrumentation",,Chemistry; Engineering; Instruments & Instrumentation,,,,,,,,View Full Record in Web of Science
C,"Jiang, L; Liu, DY; Yang, B",,,ieee,"Jiang, L; Liu, DY; Yang, B",,,Smart home research,"PROCEEDINGS OF THE 2004 INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND CYBERNETICS, VOLS 1-7",,,,,,,,,,smart home; pervasive computing; home network; home appliances,,"This paper is a survey for smart home research, from definition to current research status. First we give a definition to smart home, and then describe the smart home elements, typical research projects, smart home networks research status, smart home appliances and challenges at last.",,,,,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,659,663,,,,,,,"Computer Science, Artificial Intelligence; Computer Science, Cybernetics; Computer Science, Information Systems",,Computer Science,,,,,,,,View Full Record in Web of Science
C,"Ye, XJ; Huang, JW",,,IEEE,"Ye, Xiaojing; Huang, Junwei",,,A Framework for Cloud-based Smart Home,"2011 INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND NETWORK TECHNOLOGY (ICCSNT), VOLS 1-4",,,,,,,,,,Smart home; Cloud computing; Cloud services; Intelligent control,,"Smart Home is one of emerging application domains of The Internet of things which following the computer and Internet. Although home automation technologies have been commercially available already, they are basically designed for signal-family smart homes with a high cost, and along with the constant growth of digital appliances in smart home, we merge smart home into smart-home-oriented Cloud to release the stress on the smart home system which mostly installs application software on their local computers. In this paper, we present a framework for Cloud-based smart home for enabling home automation, household mobility and interconnection which easy extensible and fit for future demands. Through subscribing services of the Cloud, smart home consumers can easily enjoy smart home services without purchasing computers which owns strong power and huge storage. We focus on the overall Smart Home framework, the features and architecture of the components of Smart Home, the interaction and cooperation between them in detail.",,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,894,897,,,,,,,"Computer Science, Hardware & Architecture; Computer Science, Theory & Methods; Engineering, Electrical & Electronic",,Computer Science; Engineering,,,,,,,,View Full Record in Web of Science
C,"Saxena, U; Sodhi, JS; Singh, Y",,,IEEE,"Saxena, Utkarsh; Sodhi, J. S.; Singh, Yaduveer",,,Analysis of Security Attacks in a Smart Home Networks,"PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON CLOUD COMPUTING, DATA SCIENCE AND ENGINEERING (CONFLUENCE 2017)",,,,,,,,,,Smart Homes; User Interfaces; Access Control; Security Attacks; Security Mechanism Introduction,,"This paper presents an analytical review about smart home network, their working and technologies from a security standpoint It highlights various security flaws in a different smart home networks. It clearly explain, why a smart home is such an easy target for the attackers, it also discuss the role of interfaces in a smart home network by describing the scenario in which smart home network can be easily trapped. It also explains various types of home automation techniques along with the attacks which are quite more vulnerable to the smart home networks. As there of now there are many vulnerabilities which are exploiting the smart home network but no strong defensive mechanism has been developed till yet. It also indicates the basic components of a smart home network and the possible attacks which can be happen on a smart home networks.",,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,431,436,,,,,,,"Computer Science, Information Systems; Computer Science, Theory & Methods",,Computer Science,,,,,,,,View Full Record in Web of Science
J,"Jiang, N",,,,"Jiang, Nan",,,Smart Home Product Layout Design Method Based on Real-Number Coding Genetic Algorithm,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,,,,,,,,,,,,"Aiming at the problems of poor layout design efficiency of smart home products and low rationality of layout planning, a layout design method for smart home products based on a real-number coding genetic algorithm is proposed. The principles of smart home product layout design are analyzed and the smart home system architecture based on the Internet of Things is designed. Divide the combination of smart home product layout space according to spatial function, extract the visual features of smart home product layout, build a smart home product layout optimization model based on the two constraints of the total area and individual area of smart home product spatial layout, and design a real-coded genetic algorithm. The model is solved to improve the global convergence of the algorithm, and the optimization method for the layout of smart home products is obtained. The experimental results show that the layout design method of smart home products based on a real-number coding genetic algorithm can accurately extract the layout features of smart home products and accurately classify the number of pairs of homes. The efficiency of layout design and rationality of layout planning of smart home products are better, which reflects the effectiveness of this method.",,,,,,,,,,,,,,,,,,,,,,,,Jul-06,2022,2022,,,,,,,,1523330,10.1155/2022/1523330,http://dx.doi.org/10.1155/2022/1523330,,,,Mathematical & Computational Biology; Neurosciences,,Mathematical & Computational Biology; Neurosciences & Neurology,,,,,,,,View Full Record in Web of Science
C,"Wei, XL; Qin, QL",,"Zhang, Z; Zhang, J; Zhang, R",,"Wei, Xiaoling; Qin, Qiuli",,,m The Design and Application of Low-Cost Smart Home Under the Internet of Things and Cloud Computing Platform,"PROCEEDINGS OF 2ND CONFERENCE ON LOGISTICS, INFORMATICS AND SERVICE SCIENCE (LISS 2012), VOLS 1 AND 2",,,,,,,,,,ZigBee wireless sensor technology; Cloud computing technology; Low-cost; Smart home; DIY,,"Smart Home is a trend in the development of modern society, but the traditional Smart Home system isn't the popular consumer goods because of its high cost. This paper aims at the reason of high cost of traditional Smart Home technology, synthetically analyses the new Smart Home technology_ZigBee Wireless Sensor technology & Cloud Computing technology, and offers a technical proposal to reduce the cost of Smart Home. In addition, this paper combines with the application of DIY Smart Home to reflect the feasibility of the technical proposal, and looks forward to providing reference for the future development of Smart Home.",,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,10.1007/978-3-642-32054-5_134,http://dx.doi.org/10.1007/978-3-642-32054-5_134,,,,"Engineering, Industrial; Operations Research & Management Science",,Engineering; Operations Research & Management Science,,,,,,,,View Full Record in Web of Science
J,"He, FY; Wu, YB; Yang, J; Chen, KE; Xie, JY; Tuersun, Y; Li, LH; Wu, FJ; Kan, YF; Deng, YQ; Zhao, LP; Chen, JX; Sun, XY; Liao, SW; Chen, JY",,,,"He, Feiying; Wu, Yibo; Yang, Jiao; Chen, Keer; Xie, Jingyu; Tuersun, Yusupujiang; Li, Lehuan; Wu, Fangjing; Kan, Yifan; Deng, Yuqian; Zhao, Liping; Chen, Jingxi; Sun, Xinying; Liao, Shengwu; Chen, JiangYun",,,Chinese adult segmentation according to health skills and analysis of their use for smart home: a cross-sectional national survey,BMC HEALTH SERVICES RESEARCH,,,,,,,,,,Smart Home; Digital Health; Health skills; Clustering; China Family Health Index Survey,QUALITY-OF-LIFE; TECHNOLOGY,"Background Digital health has become a heated topic today and smart homes have received much attention as an important area of digital health. Smart home is a device that enables automation and remote control in a home environment via the internet. However, most of the existing studies have focused on discussing the impact of smart home on people. Only few studies have focused on relationship between health skills and use of smart home. Aims To analyze the health skills of Chinese adults and segment them to compare and analyze the use of smart home for each group. Methods We used data from 11,031 participants aged 18 and above. The population was clustered based on five health skills factors: perceived social support, family health, health literacy, media use, and chronic diseases self-behavioral management. A total of 23 smart homes were categorized into three sub-categories based on their functions: entertainment smart home, functional smart home, and health smart home. We analyzed demographic characteristics and utilization rate of smart home across different cluster. Each groups' features and the differences in their needs for smart home functions were compared and analyzed. Results As a result of the survey on health skills, three groups with different characteristics were clustered: good health skills, middle health skills, and poor health skills. The utilization rate of smart home was the highest was good health skills group (total smart home: 92.7%; entertainment smart home: 61.1%, functional smart home: 77.4%, and health smart home: 75.3%; P < 0.001). For entertainment smart home, smart TV had the highest utilization rate (good health skills: 45.7%; middle health skills: 43.5%, poor health skills: 33.4%, P < 0.001). For functional smart home, smart washing machine (good health skills: 37.7%, middle health skills: 35.11%, poor health skills: 26.5%; P < 0.001) and smart air conditioner (good health skills: 36.0%, middle health skills: 29.1%, poor health skills: 24.6%) were higher than other of this category. For health smart home, sports bracelet has the highest utilization rate (good health skills: 37.3%, middle health skills: 24.5%, poor health skills: 22.8%). Conclusion People can be divided into different categories based on health skill profiles, those with good health skills had a better utilization rate of smart home. The government and smart home companies need to focus on people with poor smart home use in various ways to promote their use of smart homes for personal health management.",,,,,,,,,,,,,,,,,,,,,,,,Jun-10,2022,22,1,,,,,,,760,10.1186/s12913-022-08126-8,http://dx.doi.org/10.1186/s12913-022-08126-8,,,,Health Care Sciences & Services,,Health Care Sciences & Services,,,,,,,,View Full Record in Web of Science
J,"Ren, LF; Zhou, HC; Hang, XY; Yang, B; Su, L",,,,"Ren, Lanfang; Zhou, Huachun; Hang, Xiaoyong; Yang, Bo; Su, Li",,,Research on Performance Optimization and Application in Smart Home for Hyperledger Fabric,SENSORS,,,,,,,,,,security of smart homes; access control for smart homes; security control for smart homes; blockchain; fabric,,"With the popularity of smart home services, smart home devices are also increasing significantly. At the same time, security problems of smart home services are becoming more and more important. With the characteristics of non-tampering and multi-party consensus mechanism, Blockchain technology provides powerful capabilities in security protection. In this paper, we introduce the widely used permission Blockchain Fabric for smart home services. As the high requirements of performance, we firstly study the methods of performance optimization for Fabric. Then, a Fabric-based smart home security control system is designed. Based on this system, the smart home system is able to provide access control and security control for smart home devices. The experimental results show that the system works best when the number of concurrent registrations of smart home device is under 6000.",,,,,,,,,,,,,,,,,,,,,,,,MAY,2022,22,9,,,,,,,3222,10.3390/s22093222,http://dx.doi.org/10.3390/s22093222,,,,"Chemistry, Analytical; Engineering, Electrical & Electronic; Instruments & Instrumentation",,Chemistry; Engineering; Instruments & Instrumentation,,,,,,,,View Full Record in Web of Science
C,"Wania, CE",,"Streitz, N; Konomi, S",,"Wania, Christine E.",,,Towards an Understanding of College Students' Perceptions of Smart Home Devices,"DISTRIBUTED, AMBIENT AND PERVASIVE INTERACTIONS",Lecture Notes in Computer Science,,,,,,,,,Consumer perceptions; Internet of Things (IoT); Smart home; Smart home devices; Smart home technology; Smart living; Ubiquitous computing; User perceptions,INFORMATION-TECHNOLOGY; USER ACCEPTANCE; OLDER-ADULTS; COMPUTER; POLICY,"The concept of a smart home has evolved over several decades. There are many advantages and potential advantages of smart homes, smart home devices and smart living. There are also disadvantages, risks and concerns with smart home devices. There has been significant work examining adults' perceptions of smart home technologies and devices, particularly in adults over the age of 40 in the areas of energy policy and assistive technologies. There has not been as much work examining perceptions of adults under the age of 40. The goal of this research is to further understand college students' familiarity with smart home devices, use of smart home devices, willingness to use such devices, and the perceived advantages and disadvantages of smart home devices. This study extends previous research by gathering college students' perceptions of smart home devices. The results of this study suggest that most of the college students surveyed perceived some usefulness and potential benefits of smart home devices, but they also had many concerns. Less than half of the college students surveyed indicated a desire to use smart home devices. A deeper understanding of younger adults' perceptions, expectations, and concerns may assist device manufacturers, researchers, and potential users of smart home devices. Further work is needed in this area.",,,,,,,,,,,,,,,,,,,,,,,,,2019,11587,,,,,,59,74,,10.1007/978-3-030-21935-2_6,http://dx.doi.org/10.1007/978-3-030-21935-2_6,,,,"Computer Science, Theory & Methods",,Computer Science,,,,,,,,View Full Record in Web of Science
C,"Rajkhan, NW; Song, J",,,IEEE,"Rajkhan, Naif Waheb; Song, Jia",,,"IoT Smart Home Devices' Security, Privacy, and Firmware Labeling System",2021 INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND COMPUTATIONAL INTELLIGENCE (CSCI 2021),,,,,,,,,,Smart home; IoT smart home devices; IoT devices; Security labeling system,,"Smart home is one of the most popular Internet of Things (IoT) implementations. Smart home devices are appliances that are interconnected through the internet, allowing the homeowner to remotely control the home. Equipped with these devices, a smart home is convenient and cost efficient. Since smart home devices collect data about the home and are connected to the internet, their security is an important issue. However, due to the lack of security standards for IoT smart home devices, manufacturers implement different security methods for their products. When purchasing a smart home device, a consumer has no way of knowing how secure the device is. Therefore, this research aims to provide a labeling system for IoT devices that covers the security, privacy, and firmware factors of IoT smart home devices. The proposed labeling system will alert consumers to the issues associated with IoT smart home devices and thus protect them from cyberattacks. This labeling system is designed specifically for smart home devices sold on the Saudi Arabian market.",,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,1874,1880,,10.1109/CSCI54926.2021.00045,http://dx.doi.org/10.1109/CSCI54926.2021.00045,,,,"Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods",,Computer Science,,,,,,,,View Full Record in Web of Science
